mod_id,mod_name,mod_version,mod_file,mod_url,display_url,issue_tracker_url
undergarden,The Undergarden,0.8.14,The_Undergarden-1.20.1-0.8.14.jar,,,https://github.com/quek04/The-Undergarden/issues
nitrogen_internals,Nitrogen,1.20.1-1.0.12-neoforge,nitrogen_internals-1.20.1-1.0.12-neoforge.jar,,https://github.com/The-Aether-Team/Nitrogen,https://github.com/The-Aether-Team/Nitrogen/issues
moogs_structures,Moog's Structure Lib,1.1.0-1.20-1.20.4,moogs_structure_lib-1.1.0-1.20-1.20.4-forge.jar,,,
framework,Framework,0.7.15,framework-forge-1.20.1-0.7.15.jar,,https://mrcrayfish.com/mods?id=framework,
krypton,Krypton Reforged,0.2.3,KryptonReforged-0.2.3.jar,,,
illageandspillage,Illage and Spillage: Respillaged,1.2.8,illageandspillagerespillaged-1.2.8.jar,,https://www.curseforge.com/minecraft/mc-mods/illage-and-spillage-finally-ported,https://github.com/TheDarkPeasant/Illage-and-Spillage--Respillaged/issues
toms_storage,Tom's Simple Storage Mod,1.7.1,toms_storage-1.20-1.7.1.jar,,https://www.curseforge.com/minecraft/mc-mods/toms-storage,https://github.com/tom5454/Toms-Storage/issues
puffish_attributes,Pufferfish's Attributes,0.8.0,puffish_attributes-0.8.0-1.20-forge.jar,,,
t_and_t,Towns and Towers,0.0NONE,Towns-and-Towers-1.12-Fabric+Forge.jar,,,
scalinghealth,Scaling Health,8.0.2+9,ScalingHealth-1.20.1-8.0.2+9.jar,,,https://github.com/SilentChaos512/ScalingHealth
fastleafdecay,Fast Leaf Decay,32,FastLeafDecay-32.jar,,,
bettermineshafts,YUNG's Better Mineshafts,1.20-Forge-4.0.4,YungsBetterMineshafts-1.20-Forge-4.0.4.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-mineshafts-forge,https://github.com/yungnickyoung/YUNGs-Better-Mineshafts/issues
